,word_guesses,first_pass,solution_words,solution
0,di;ari;re;ante,di C CI ari NF re SC ante,Diccia;rinfrascente,Diccia rinfrascente
1,verme;ori;ala;osa,A verme M ori ala C UN osa,Aver;memoria;lacunosa,Aver memoria lacunosa
2,mazzo;eco;raggio,A mazzo N eco raggio SA,Amazzone;coraggiosa,Amazzone coraggiosa
3,re;storico;sci;totale,P re TE storico NO sci U totale,Pretesto;riconoscuito;tale,Pretesto riconoscuito tale
4,orme;abili;ori;ore,N orme abili M ori G ore,Norme;a;bimorig;ore,Norme a' bimorig ore
5,pire;cent,TEM pire cent I,Tempi;recenti,Tempi recenti
6,fra;chef;tre;mare,CI fra chef A tre mare,CIFRA;che;fà;tremare,CIFRA che fà tremare
7,Eva;letti;ori,TR Eva L letti M ori,Tre;valletti;mori,Tre valletti mori
8,ara;con,R ara I con A,Rara;icona,Rara icona
9,tra;mini;tali,tra mini F A tali,Tramini;fatali,Tramini fatali
10,Gori;rose,LON Gori rose LLI,Longori;roselli,Longori roselli
11,araucaria;iri;abili,P araucaria MB iri RI abili,Parauraria;mibirirabi,Parauraria mibirirabi
12,tori;come;va;sta,S tori come DI E va LI sta,Storico;mediovalista,Storico mediovalista
13,la;maestra,la maestra TTA,Lama;estatta,Lama estatta
14,ari;posta;auto;ari,U N ari S posta auto RI T ari,Una;risposta;autoritaria,Una risposta autoritaria
15,aro;travi;Ate,P aro L E travi S Ate,Parole;travisate,Parole travisate
16,fischietti,O R A fischietti,Orafi;schietti,Orafi schietti
17,re;tre;arpa,B re tre R arpa HE,Brete;rarrapahé,Brete rarrapahé
18,est;cime;chini,G est A C cime S chini,Gestacci;meschini,Gestacci meschini
19,Ares;tra;dinari,F Ares tra O R dinari,Fare;strordinari,Fare strordinari
20,armo;Tosca;ore,F armo L Tosca LP ore,Far;molto;scopalpore,Far molto scopalpore
21,rade;olivia;etti,G rade V olivia G G etti,Gradevoli;vaggetti,Gradevoli vaggetti
22,Nasser;tori;colo,U Nasser tori D I colo,Un;asserrato;ridicolò,Un asserrato ridicolò
23,cerotti;etto,S cerotti RF etto,Scero;tirifetto,Scero tirifetto
24,sposi;nidi;armi,E sposi ZI O nidi M armi,Esposizioni;di;marmi,Esposizioni di marmi
