,idx,first_pass,solution_words,solution
0,0,AND araba S ile ape R A F fari,Andar;a;basilea;per;affari,Andar a basilea per affari
1,1,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;tesoro;delle;cose;imparate,Chi è savio fa tesoro delle cose imparate
6,6,PE revolver S ibis O GN ami GL IO R arsi,Per;evolversi;bisogna;migliorarsi,Per evolversi bisogna migliorarsi
7,7,V I van da dama N giare alte G ami N O,Vivanda;da;mangiare;al;tegamino,Vivanda da mangiare al tegamino
8,8,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la N I ceste L lato,L;anice;stellato,L'anice stellato
11,11,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,OS pedale Di RI serva,Ospedale;di;riserva,Ospedale di riserva
13,13,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,V oliera pericolo MBI,Voliera;per;i;colombi,Voliera per i colombi
15,15,C ami ciechi C,Camicie;chic,Camicie chic
16,16,GE stie duca TI,Gesti;educati,Gesti educati
17,17,campanile Pi Di,Campani;lepidi,Campani lepidi
18,18,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,V ante R I edili BER tino,Vantieri;di;libertino,Vantieri di libertino
22,22,IL Po Po LA reattore AC C orsi,Il;popolare;attore;accorsi,Il popolare attore accorsi
23,23,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,CA Nievo lp I,Cani;e;volpi,Cani e volpi
25,25,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,BO Rodi negri EG,Borodin;e;Griege,Borodin e Griege
27,27,S B agli ode P L ora B ile,Sbaglio;deporabile,Sbaglio deporabile
28,28,G irata peri N C asso,Girata;per;incasso,Girata per incasso
29,29,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi Un G Ermete,Raggiunger;mete,Raggiunger mete
31,31,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,34,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,35,P O camusi capo P,Poca;musica;pop,Poca musica pop
36,36,CEL ebreo peri ST A,Celebre;operista,Celebre operista
37,37,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,A gilet ore R O D ali C ante,Agile;torero;d;Alicante,Agile torero d'Alicante
39,39,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
