,word_guesses,first_pass,solution_words,solution
0,odi;ari;re;ante,odi C CI ari NF re SC ante,Odicci;arinfrescante,Odicci arinfrescante
1,verme;ori;lato;osa,A verme M ori lato C UN osa,Aver;memorato;concusosa,Aver memorato concusosa
2,mazzo;eco;raggio,A mazzo N eco raggio SA,Amazzone;coraggiosa,Amazzone coraggiosa
3,re;nero;sci;somma,P re TE nero NO sci U somma,Pretene;rosonosciuma;sommà,Pretene rosonosciuma sommà
4,orme;dotati;ori;ore,N orme dotati M ori G ore,Norme;d;otato;mergo,Norme d'otato mergo
5,pira;cent,TEM pira cent I,Tempi;racenti,Tempi racenti
6,rea;chef;tre;lago,CI rea chef A tre lago,Cirea;che;fa;tralago,Cirea che fa tralago
7,Eva;letti;ori,TR Eva L letti M ori,Tre;valletti;mori,Tre valletti mori
8,ara;con,R ara I con A,Rara;icona,Rara icona
9,tra;colo;tali,tra colo F A tali,Tracolo;fatali,Tracolo fatali
10,Elio;viole,LON Elio viole LLI,Loneli;violelli,Loneli violelli
11,rhea;edile;abili,P rhea MB edile RI abili,Preambi;delirabili,Preambi delirabili
12,tori;come;va;sta,S tori come DI E va LI sta,Storico;medievalista,Storico medievalista
13,la;maestra,la maestra TTA,Lame;stretta,Lame stretta
14,ari;posta;auto;ari,U N ari S posta auto RI T ari a,Una;risposta;autoriativa,Una risposta autoriativa
15,aro;assi;Ate,P aro L E assi S Ate,Parole;assisate,Parole assisate
16,lari,O R A lari,Orale;larari,Orale larari
17,re;est;amo,B re est R amo HE,Brees;tramòhe,Brees tramòhe
18,est;cime;tesi,G est A C cime S tesi,Gestioni;cimentesi,Gestioni cimentesi
19,Ares;tra;dinari,F Ares tra O R dinari,Fare;stradinari,Fare stradinari
20,armo;Tosca;ore,F armo L Tosca LP ore,Far;molto;scapolare,Far molto scapolare
21,rade;ava;etti,G rade V ava G G etti,Gradevava;gaggetti,Gradevava gaggetti
22,Nilo;tori;colo,U Nilo tori D I colo,Un;ilotori;didicolo,Un ilotori didicolo
23,ceri;etto,S ceri RF etto,Scer;irfetto,Scer irfetto
24,sposi;nidi;arpe,E sposi ZI O nidi M arpe,Esposizioni;di;Marpe,Esposizioni di Marpe
25,si;capo;si;stria,RA si O capo si stria,Rasio;caposciastria,Rasio caposciastria
26,alati;via,M alati GRA via,Malati;gravi;a;via,Malati gravi a via
27,ode;tea;re,M ode S tea LTU re,Modeste;alture,Modeste alture
28,gru;oca;rea;do,gru PP oca N O rea R do,Gruppo;canore;ardo,Gruppo canore ardo
29,sola;eco;scuola,I sola eco scuola,Isole;aecoscuola,Isole aecoscuola
30,con;fez;lama;telline,con fez I O N lama N telline,Confezion;mannate,Confezion mannate
31,Bambi;nodi;Tinto;nato,Bambi nodi Tinto nato,Bambino;dittonato,Bambino dittonato
32,Avento;tea,P Avento tea TRO,Pave;t;oteatro,Pave t oteatro
33,viole;asce,viole N T asce N A,Violenta;scena,Violenta scena
34,edile;tana;ali,MO edile VI tana V ali,Modile;il;vitana;vali,Modile il vitana vali
35,re;sta;in;bus;abile,re GI sta in bus ON T abile,Regista;inbusontabile,Regista inbusontabile
36,est;netti;tori,G est I netti LI A tori,Gesti;nittiliatori,Gesti nittiliatori
37,tori;refugi;stazione,S tori C A refugi FE stazione,Storica;refugiestazione,Storica refugiestazione
38,refe;ratti,VA refe NF ratti,Vare;fenfratti,Vare fenfratti
39,cali;tina,BOC cali PO tina,Bocca;lipotina,Bocca lipotina
40,astri;catodi;nato,L astri catodi S E G nato,Lastracato;disegnato,Lastracato disegnato
41,unte;timo;echi,unte S timo N echi A VE,Un;testimone;chiàve,Un testimone chiàve
42,sponde;ramo;velo;la,R I sponde ramo NO velo L la BI,Risponder;a;monovelolabi,Risponder a monovelolabi
43,articoli;campi,S articoli D IS campi,Sarticoli;di;scampi,Sarticoli di scampi
44,legge;rei;re;dente,E legge rei L P re SI dente,Eleggere;il;presidente,Eleggere il presidente
45,re;re;menti,re S T Are re s G O menti,Restare;resgomenti,Restare resgomenti
46,avi;la;resta;are,U N avi L la DA resta U R are,Una;villa;da;restaurerare,Una villa da restaurerare
47,ori;tasche,GON ori SOS tasche,Gonorosi;ostasche,Gonorosi ostasche
48,viso;Ti,viso S Ti,Viso;stiti,Viso stiti
49,colo;usci;tori,colo M usci A G GI A tori,Colomus;caggiatori,Colomus caggiatori
50,agente;lame,L agente lame A,La;gente;l;ameata,La gente l'ameata
51,dive;rami,dive NTA rami C I,Diventar;amici,Diventar amici
52,epe;sci;la,TR epe sci PA L la,Tre;pesci;palla,Tre pesci palla
53,taille;ore;ali;ante,A taille ore R O D ali C ante,Atail;erodali;c;anticente,Atail erodali c'anticente
54,Rodd;Tosca;Iri,P Rodd OT Tosca D Iri,Prodotto;scadirì,Prodotto scadirì
55,bus;topi;nodi;madri,AR bus topi E nodi G E R madri,Arbusto;pieno;di;germa,Arbusto pieno di germa
56,nata;adipe;ori;ante,U nata R adipe S ori LEV ante,Una;tarà;di;peso;rilevante,Una tarà di peso rilevante
57,est;dito;api;osa,SI est dito R api U A F osa,Sietto;dir;apo;ià;fossa,Sietto dir'apo ià fossa
58,mas;pia,mas P pia LTI,Massip;alti,Massip alti
59,lira;erte;ali,CA lira erte ali,Cali;raterali,Cali raterali
60,rio;mano;redi;menti;mici,CU rio SE mano V redi ELE menti NE mici,Curiose;manovre;di;elemen;tineci,Curiose manovre di elemen tineci
61,ara;resta;re,T ara resta D E re,Tarare;staderé,Tarare staderé
62,Ucraina;epe;sala,G Ucraina ND epe NA sala,Gucra;indenephasala,Gucra indenephasala
63,su;cera;gazze,su DI cera gazze,Sudice;ragazze,Sudice ragazze
64,merino;mi;olla,D A merino mi D olla TO,Demerino;modificato,Demerino modificato
65,Atene;are;galea,C Atene L L are galea TA,Catenella;regaleata,Catenella regaleata
66,ante;Ape;ante,M ante LL Ape S ante,Mantella;pesante,Mantella pesante
67,divo;ode;tele;tori,divo RA ode L tele C tori E,Diverao;delte;lettorie,Diverao delte lettorie
68,sale;osa,CAP sale BBI osa,Capsa;lebbiosa,Capsa lebbiosa
69,ossi;re;sai;lumino,D ossi E re sai VO lumino SO,Dossire;saivo;luminoso,Dossire saivo luminoso
70,sedile;radia,M A sedile radia A T A,Mase;direadia,Mase direadia
71,calamita,calamita NTI,Calami;tinti,Calami tinti
72,cono;cima;ali,E cono MI cima N U ali,Economi;manuali,Economi manuali
73,coni;adipe;oca,N U coni NE adipe RC oca,Nucon;inead;ip;ereccoa,Nucon inead ip ereccoa
74,osti;letto;lese,L osti VA letto M A lese,Lo;stivaletto;malese,Lo stivaletto malese
75,re;armeno,SP re C armeno,Sprecar;meno,Sprecar meno
76,fon;ode;api;nasi,fon D ode L L api nasi NA,Fondo;della;pinasina,Fondo della pinasina
77,est;remi,MA est remi OP I,Maestri;mopi,Maestri mopi
78,ava;pia;tad;notiziario,L ava pia T tad O notiziario,Lavapiattà;notiziario,Lavapiattà notiziario
79,arpe;re;onda,ST arpe re PP onda RSI,Star;per;epoponderasi,Star per epoponderasi
80,ellissi;odi;ante,B ellissi M odi A M ante,Bellissimo;diamante,Bellissimo diamante
81,seri;con;mali,D O seri con mali,Doserie;conmali,Doserie conmali
82,colo;cari;ale,VIN colo cari U G ale,Vincolo;cariguale,Vincolo cariguale
83,ciocco;tini;denti,ciocco LA tini F O N denti,Cioccolatini;fondenti,Cioccolatini fondenti
84,Sestino;iris;nato,BE Sestino M iris CCI nato,Besestino;miriscicciato,Besestino miriscicciato
85,asce;ore;ari;para,asce N S ore D ari para RE,Ascensore;da;riparare,Ascensore da riparare
86,taglia;bus,A L taglia bus I,Al;taglia;busi,Al taglia busi
87,pia;serie,pia ZZE serie NE,Piazza;serene,Piazza serene
88,giara;azza,LI giara G azza,Ligiar;agazza,Ligiar agazza
89,chiesa;ori;arpe,chiesa N ori S P arpe A,Chi;è;sano;risparpia,Chi è sano risparpia
90,in;lido,A in lido RO,Aindol;d;oro,Aindol d'oro
91,ali;ape;ala;ile,S ali T ape D ala B ile,Salita;pedalabile,Salita pedalabile
92,in;fa;va,in fa L va GI,Infalva;laggi,Infalva laggi
93,Iole;re;Ate,PR Iole N re LEV Ate,Princiore;levate,Princiore levate
94,api;coli;are;alta;are;Ciad,D api C coli L are alta A PP are LON Ciad,Da;piccolo;il;rea;tappa;realon,Da piccolo il rea tappa realon
95,ave;mici,ave R NE mici,Aver;nemici,Aver nemici
96,api;oli;etti,C api T oli L etti,Capitoli;letti,Capitoli letti
97,cono;re,S cono SCU re,Sconos;cruere,Sconos cruere
98,serio;reo,NAS serio reo,Nasser;ioreo,Nasser ioreo
99,porta;mento;mora,COM porta mento A mora LE,Comportamento;amorale,Comportamento amorale
100,cavolo;menti;are,CO cavolo N DI menti C are,Cova;lo;non;dimenticare,Cova lo non dimenticare
101,est;arpa;re,est ER N arpa U re,Esterna;parte,Esterna parte
102,lava;crampon;dente,lava CAN crampon CC I dente,La;vacanca;crà;punccidente,La vacanca crà punccidente
103,muso;oste;ile,muso Q UI oste R ile,Musoquio;sterile,Musoquio sterile
104,Paolino;va;prigione,Paolino va SOR prigione,Paol;inovatore,Paol inovatore
105,perso;ari;osa,perso N ari OT T osa,Persona;ritorosa,Persona ritorosa
106,est;est;ali,L est RAD est A T ali,Le;strada;statali,Le strada statali
107,rete;zio;zio;ode,P rete N zio zio ode LLA,Pretenziozio;delalla,Pretenziozio delalla
108,tana;Dante,E S tana Dante,Estan;adante,Estan adante
109,aglio;pera;pera;agli,SB aglio pera T I pera B B agli,Sbaglio;perati;per;abbagli,Sbaglio perati per abbagli
110,do;tine,I do tine GRI,I;dotini;greg,I dotini greg
111,van;ale;numi,V I van ale numi D O,Vivanà;le;mizioni,Vivanà le mizioni
112,gru;podista;Edipo;cella,gru P podista TU Edipo R cella NA,Gruppo;di;statu;ed;ipercollana,Gruppo di statu ed ipercollana
113,unto;casa;ami;colo,unto C casa N ami R A colo SO,Un;toccasana;miracoloso,Un toccasana miracoloso
114,Mecca;trattore;lato,Mecca S trattore lato RE,Meccastr;attorlato,Meccastr attorlato
115,pia;erta,pia NG erta NTO,Pignerte;tanto,Pignerte tanto
116,pera;oche;avo;rane;orto,O pera I oche L avo rane L P orto,Operai;che;lavo;ran;nelpo,Operai che lavo ran nelpo
117,tele;si;nei;liana,tele V I si O nei T A liana,Televisione;italiana,Televisione italiana
118,venti;letto,E venti letto LA,Evente;le;ttola,Evente le ttola
119,ambi;navi;ami,B ambi navi E TN ami T A,Bambina;vietamitata,Bambina vietamitata
120,pera;aria,O pera MUR aria,Opera;muraria,Opera muraria
121,colo;rio;orso,colo rio C orso,Colori;ocorso,Colori ocorso
122,code;muri,D I S code muri O,Disco;d;emuro,Disco d'emuro
123,amo;robusto,F amo robusto,Famoro;robust,Famoro robust
124,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
125,articoli;chili,UTO articoli chili STA,Utoart;il;cicillista,Utoart il cicillista
126,amo;rosa;tea;azza,CL amo rosa RE tea L ME azza,Clamorosa;rete;al;mezza,Clamorosa rete al mezza
127,per;rape;sale,per E rape R sale C CO,Pererapé;sa;leccocco,Pererapé sa leccocco
128,do;ali;iodio,CE do L ali BR iodio,Cedola;liberio,Cedola liberio
129,antico;code,F antico C code,Fan;toccode,Fan toccode
130,oca;oca;scope,GI oca RAC oca scope R TE,Giocar;a;cosa;scoperta,Giocar a cosa scoperta
131,anca;remo;est,C anca remo D est O,Cancare;modesto,Cancare modesto
132,est;Ares;azza,R est Ares PI azza TI,Restare;spiazzati,Restare spiazzati
133,are;elmo;tana,P are N elmo N tana,Paremno;montana,Paremno montana
134,do;teca;tomo,do TEN teca L tomo T A,Dotente;calottoma,Dotente calottoma
135,rete;odi;amo;ara;azza,CUO rete NER odi NN amo RAT ara G azza,Cuore;tener;d;innamorata;ragazza,Cuore tener d'innamorata ragazza
136,scia;come,scia DI come TA,Scia;di;cometa,Scia di cometa
137,nove;re;con;do,N O N nove re con do,Nonno;verecondo,Nonno verecondo
138,rose;lime;dio;ali,C A rose L lime dio E V ali,Caroselli;mediovali,Caroselli mediovali
139,nari;reo;urne,U nari US reo urne E,Una;riusse;urnese,Una riusse urnese
140,al;fiume;poli;tana;cross;Eva,al fiume poli tana cross Eva,Al;fiumepolitana;crossiva,Al fiumepolitana crossiva
141,nari;arti;zio;Daisy,U nari P arti zio N EE Daisy,Una;ripartizione;edaisy,Una ripartizione edaisy
142,re;galea;nati,re G galea S T I nati,Reggale;astinati,Reggale astinati
143,su;arco;re,AS su arco PP re,Assura;c;oppre,Assura c'oppre
144,assi;ora;ori;odi;dodici,B assi B ora T ori odi D dodici C O,Bas;boratorio;didodicico,Bas boratorio didodicico
145,lisca;ali,UTI lisca F F ali,Utili;scaffali,Utili scaffali
146,ambi;lame;cani,B ambi lame C cani CA,Bambila;meccanica,Bambila meccanica
147,ridente;re;porta;belli,ST ridente re porta GE belli CI,Stridente;reporter;bellici,Stridente reporter bellici
148,fon;ago;amo;tana,PRO fon D ago L amo N tana,Profondag;ola;montana,Profondag ola montana
149,asta;ceri;tasca,P asta ceri UT tasca RSA,Pastacerità;scarosa,Pastacerità scarosa
150,pia;lati,CA pia D U lati,Capi;adulati,Capi adulati
151,Bach;cane,Bach E cane RA,Bacheca;nera,Bacheca nera
152,dio;mare;baristi,TE dio mare TT U baristi,Tedia;mortuari,Tedia mortuari
153,noci;are,O noci G are,Onoci;gi;are,Onoci gi are
154,alati;remo;bere,F alati remo bere L LI,Falati;r;emoberelli,Falati r'emoberelli
155,ara;Eros;Era;pia,F ara Eros OL T Era pia,Far;aerosolterapia,Far aerosolterapia
156,cane;odi;sci,cane S TR odi VI sci,Canestro;di;visci,Canestro di visci
157,ali;ami;chela;iole,S C ali N A T ami chela NG iole SCA,Scalinata;michelangiolesca,Scalinata michelangiolesca
158,lame;mina;tino,S A lame mina CE N tino,Salame;minacentino,Salame minacentino
159,su;nidi;sieri,su O nidi V I sieri NI,Suoni;di;visieri,Suoni di visieri
160,nume;Medi;ceri,U nume Medi ceri A,Un;umede;mieria,Un'umede mieria
161,Po;asso;est,Po V I D asso L est O,Povidasso;lestò,Povidasso lestò
162,fa;resta;ante,AF fa resta G N ante,Affare;stagnante,Affare stagnante
163,ali;nera;azze,M ali G nera G azze,Malinger;agazze,Malinger agazze
164,usci;rea;cere,R I usci rea V I N cere,Riuscire;a;vincer,Riuscire a vincer
165,re;gola;avi,S re gola T avi T A,Sregolata;vita,Sregolata vita
166,con;ras;tanti;mori,con T ras tanti U mori,Contrastanti;umori,Contrastanti umori
167,vene;lira;azze,S vene VO lira G azze,Svenevoli;ragazze,Svenevoli ragazze
168,iuta;epe;coli,F iuta R epe R I coli,Fiutare;pericoli,Fiutare pericoli
169,lari;zanine;est,lari zanine CH I est O,Lariza;nine;chiesto,Lariza nine chiesto
170,fanti;lepre;est,I N fanti lepre T est O,Infantile;pretesto,Infantile pretesto
171,latte;sano;mina,latte sano mina,L;attesa;nomina,L'attesa nomina
172,usa;fa;cera,BL usa fa cera TA,Blusa;facerata,Blusa facerata
173,anca;dama,C anca dama CK,Cancad;a;mack,Cancad a mack
174,anca;redi;in,M anca redi S T in TO,Mancare;d;istinto,Mancare d'istinto
175,seria;etti,ES seria B B I etti,Esseri;abbitetti,Esseri abbitetti
176,api;scodella;rena,C api scodella P rena SI,Capisco;delerennesi,Capisco delerennesi
177,osso;naso;tana,GR osso LA naso T tana,Grossolana;sottana,Grossolana sottana
178,oche;leve;redi;orsi,N oche L leve redi ST orsi O NI,Nobel;levere;dito;sordionini,Nobel levere dito sordionini
179,do;eco;raggio,do N N eco raggio SE,Donne;coraggiosa,Donne coraggiosa
180,Pan;con;arco,Pan I con N B arco,Panico;non;barco,Panico non barco
181,Paganini;re,S Paganini PI C re,Spaga;nipicre,Spaga nipicre
182,ali;erta;gola;rei;tini;dei;poli,E L ali B erta ARE gola rei D E S tini dei P O poli,È;la;libertà;è;regolare;i;destini;dei;poli,È la libertà è regolare i destini dei poli
183,pie;astici,CO R pie L astici,Corpi;elastici,Corpi elastici
184,doni;fico;raggio,S doni F fico raggio SI,Sondiffi;coraggiosi,Sondiffi coraggiosi
185,con;colo;Renato,con colo S T Renato,Concolo;strenato,Concolo strenato
186,dita;nera;di;zio;siepe;vino;ori,dita N nera di zio N I siepe R vino M ori A,Di;tanner;adizionisi;ep;e;vino;mi;oria,Di tanner adizionisi ep e vino mi oria
187,diva;Oscar,diva RI Oscar SO,Divari;scosso,Divari scosso
188,ava;lima;lenti,C ava L lima C I lenti,Cavalli;macilenti,Cavalli macilenti
189,per;nodo;Venere,FU per IE nodo LI Venere,Fuper;inodo;l;invere;nere,Fuper inodo l'invere nere
190,nave;re;anca;dadi,NO nave re G R anca dadi R E,Non;avere;grancad;adì;re,Non avere grancad adì re
191,diva;Mati;agli,IN diva DU Mati PI R agli,Individuati;primari,Individuati primari
