,word_guesses,first_pass,solution_words,solution
0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basilea;per;affari,Andar a basilea per affari
1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,chiesa;fate;ode;eco;sei;para,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;tesoro;delle;cose;imparate,Chi è savio fa tesoro delle cose imparate
6,revolver;ibis;ami;arsi,PE revolver S ibis O GN ami GL IO R arsi,Per;evolversi;bisogna;migliorarsi,Per evolversi bisogna migliorarsi
7,van;da;dama;giare;alte;ami,V I van da dama N giare alte G ami N O,Vivanda;da;mangiare;al;tegamino,Vivanda da mangiare al tegamino
8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,la;ceste;lato,la N I ceste L lato,L;anice;stellato,L'anice stellato
11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,oliera;rischio,V oliera rischio MBI,Volieri;arr;i;schiomi,Volieri arr i schiomi
15,ami;ciechi,C ami ciechi C,Camicie;chic,Camicie chic
16,stie;duca,GE stie duca TI,Gesti;educati,Gesti educati
17,arco;Pi;Di,arco Pi Di,Arcopi;dì,Arcopi dì
18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,ante;edili;tino,V ante R I edili BER tino,Vanterie;di;libertino,Vanterie di libertino
22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;Accorsi,Il popolare attore Accorsi
23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,Este;lp,CA Este lp I,Caes;t;Elpi,Caes t Elpi
25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,Rodi;negri,BO Rodi negri EG,Brodine;g;greig,Brodine g greig
27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deplorabile,Sbaglio deplorabile
28,irata;peri;asso,G irata peri N C asso,Girata;per;incasso,Girata per incasso
29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,raggi;un;Ermete,raggi un G Ermete,Raggiunger;mete,Raggiunger mete
31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,camusi;capo,P O camusi capo P,Poca;musica;pop,Poca musica pop
36,ebreo;peri,CEL ebreo peri ST A,Celebre;operista,Celebre operista
37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Agile;torero;d;Alicante,Agile torero d'Alicante
39,viti;tori,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
40,dotta;viole,CON dotta viole NTA,Condotta;violenta,Condotta violenta
41,tra;collare;mani;est,tra collare mani F est I,Tracollar;emanifesti,Tracollar emanifesti
42,in;si;va;per;razione,in CI si va per O razione,Incisiva;perorazione,Incisiva perorazione
43,scia;la;re;sol;doni,scia la re sol doni,Scialare;soldoni,Scialare soldoni
44,gin;rami,gin OB rami E R I,Gino;Bramieri,Gino Bramieri
45,fra;secondi;versi;ori,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,acini;caviglia,L acini caviglia CCA,La;cinica;vigliacca,La cinica vigliacca
47,ossa;top;fon,F ossa top RO fon DO,Fossato;profondo,Fossato profondo
48,Cam;colt;tiara;anelli,Cam PI colt I VA tiara V anelli,Campi;coltivati;a;ravanelli,Campi coltivati a ravanelli
49,re;ala;are,MA re ala G U N are,Mareà;lagunare,Mareà lagunare
50,testa;mento;testa;agli;redi,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dagli;eredi,Un testamento contestato dagli eredi
51,larve;somari;ontani,VO larve R somari L ontani,Volar;verso;mari;lontani,Volar verso mari lontani
52,amo;sai;nave;nera,F amo sai C O nave nera TA,Famosa;icona;venerata,Famosa icona venerata
53,lenti;gin;Omar;occhio,lenti G gin O S Omar M occhio,Lenticinoso;marmocchio,Lenticinoso marmocchio
54,tir;maniche,AR tir O maniche,Arti;romaniche,Arti romaniche
55,cola;anelli;arazzo,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,re;tea;tram;aglio,re tea tram aglio,Rete;a;tramaglio,Rete a tramaglio
57,spettatore;divo,SO spettatore CI divo,Sospettato;recidivo,Sospettato recidivo
58,est;conca;lama,C est I conca lama RI,Cesti;con;calamari,Cesti con calamari
59,prese;Arese;reti,prese R V Arese G reti,Preservare;segreti,Preservare segreti
60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,lama;rettile,CA lama rettile SSI,Calamaretti;lessi,Calamaretti lessi
62,unti;rosse;va;zio,S P unti P E rosse R va zio NI,Spunti;per;osservazioni,Spunti per osservazioni
63,nero;sodo;ore,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,zucche;agrumi,zucche R O agrumi,Zucchero;a;grumi,Zucchero a grumi
66,isola;torero;busto,isola torero busto,Isolatore;robusto,Isolatore robusto
67,facce;dadi;riga,facce NDA dadi SB riga RE,Faccenda;da;disbrigare,Faccenda da disbrigare
68,nafta;erme;teli;oro,nafta GG erme N teli QU oro SI,Naff;taggermente;liquorosi,Naff taggermente liquorosi
