,word_guesses,first_pass,solution_words,solution
0,,"[Sono pari nell' odio] C CI [Altro nome dei gicheri] NF [Se scappa, va in esilio] SC [Le ha l'armadio]",,
1,,Ape Mole,,Ape Mole
2,,A fiori si riceve volentieri,Afiori;si ricevono,
3,,Pace TE Cesare NO U,Pacete;cesareno;uou;Pacete;cesareno;uou;;Pacete;cesareno;uou;;Pacete;cesareno;uou;;Pacete;cesareno;uou;;Pacete;cesareno;uou;;Pacete;cesareno;uou;;Pacete;cesareno;uou,Pace TE Cesare NO U = Pace Te Cesare No U
4,,Nascita abili Mini G,Nascita abili Mini G,Nascita abili Mini G
5,,TEM cataste da ardere,,Temata
6,,CI Cristoforo de I promessi sposi Capocuoco alla francese,CICR;Io;di;promesso;C;C,
7,,TR Ava Lta M,,Trava
8,,R altare I con A,Ralt;Areicon;;R;al;tar;ei con;A;;R;al;tar;ei con;A;;R,Ralt Areicon
9,,preposizione intermedia,Preposizione;Ombretta,preposizione Ombretta
10,,LON colere croci LLI,Loncoli;eroicoli,Loncoli eroicoli
11,oca;ostile;adatti,P oca MB ostile RI adatti,Pocambo;stilari,Pocambo stilari
12,,Sapiens (come) DI E (varese) LI (come dire questa),Sapien;scomedite;Sapien;scomedite = Sapien scomedite;;Sapien;scomedite = Sapien scomedite;;;Sapien;scomedite = Sapien scomedite;;;Sapien;scomedite = Sapien scomedite;;;Sapien;scomedite = Sapien scomedite;;,Sapiens (come) DI E (varese) LI (come dire questa) = Sapiens (come) DI E (varese) LI (come dire questa)
13,,sol,,sol
14,,Un afar S scommessa auto RI T afar,Una;farsess;massauto,Una farsess massauto
15,pane;pali;Aretusa,P pane L E pali S Aretusa,Ppanele;palisaretusa,Ppanele palisaretusa
16,,O R A sassate,Oraso;sassata,Oraso sassata
17,re;venezia;balestra,B re venezia R balestra HE,Breve;esibalestra,Breve esibalestra
18,est;cime;cani,G est A C cime S cani,Gestacci;mescani,Gestacci mescani
19,Ares;tra;dinari,F Ares tra O R dinari,Far;estradinari,Far estradinari
20,,Fare un'imbarcazione che gareggia nelle regate,Vela;Tosca;Sentire,Fare un'imbarcazione che gareggia nelle regate = Vela
21,porti;Olivia;etti,G porti V Olivia G G etti,Gportivi;oligo-gatti,Gportivi oligo-gatti
22,Narmer;toreri;colino,U Narmer toreri D I colino,Un;armatore;ridicolo,Un armatore ridicolo
23,pigmenti;etto,S pigmenti RF etto,Spig;mentire,Spigmentare
24,sposi;nidi;pile,E sposi ZI O nidi M pile,Esposizione;in;dimpli,Esposizione in dimpli
25,,RA invito O impersona invito un vena,Raito;invitato,Raito
26,,Mano GRA,Sesta;Sesta;s;sesta,Mano GRA
27,ode;tea;re,M ode S tea LTU re,Modeste;altruiste;R;i;s;os;i;v;all;isti;M;o;d;est;al;tru;uisti,Modeste altruiste
28,,gru PP ometto N O sa R re,Gruppo;PPometto;Nosar,Gruppo PPometto Nosar
29,,I unica singola,,Unica
30,,con tricorno I O N scie N aragoste,Contrario;Cosa che si fa contro,
31,Bambi;leggi;Beniamino;coalizione,,Bambi;legisbenino,
32,,Pisa,,Pisa
33,,Fiorellini primaverili N T accette N A,Fiorelli;prima;Ciliegine;prima;Ciliegio;prima;Ciliegio;prima,Fiorelli prima
34,scalpellino;tana;ali,MO scalpellino VI tana V ali,Mocale;la;pelle;nativi,Mocale la pelle nativi
